9 9977 48697
0 0 0.0223389 -0.300987
1 0 0.0291964 -0.327137
0 1 0.0292579 -0.292527
1 1 0.0369457 -0.317908
0 2 -0.0668393 -0.291758
1 2 -0.0729895 -0.317908
0 3 -0.13526 -0.290988
1 3 -0.142948 -0.317138
0 4 -0.0576139 -0.286374
1 4 -0.0645329 -0.31237
0 5 0.0331018 -0.285605
1 5 0.0402668 -0.311632
0 6 0.0292579 -0.282528
1 6 0.0358386 -0.307201
0 7 -0.214445 -0.281759
1 7 -0.21752 -0.307909
0 8 -0.211369 -0.28099
1 8 -0.215213 -0.307909
0 9 -0.209063 -0.28099
1 9 -0.212907 -0.30714
0 10 -0.119885 -0.280221
1 10 -0.129879 -0.30714
0 11 -0.11066 -0.279452
1 11 -0.119116 -0.305602
0 12 -0.212907 -0.277913
1 12 -0.21752 -0.304833
0 13 -0.174468 -0.277913
1 13 -0.182156 -0.304063
0 14 -0.178312 -0.276375
1 14 -0.184462 -0.302525
0 14 -0.17985 -0.275606
0 15 0.0384832 -0.274837
1 15 0.0470935 -0.299449
0 16 -0.00764343 -0.27253
1 16 -0.00994976 -0.297141
0 17 4.43475e-05 -0.270991
1 17 -0.000878148 -0.295757
0 18 -0.00303076 -0.270222
1 18 -0.00456832 -0.294834
0 19 0.00235068 -0.269453
1 19 4.43475e-05 -0.294065
0 20 -0.00533709 -0.268684
1 20 -0.00764343 -0.293296
0 21 0.0146511 -0.267915
1 21 0.0157274 -0.292065
0 22 -0.150636 -0.260993
1 22 -0.14833 -0.286374
0 23 4.43475e-05 -0.25484
1 23 -0.00226198 -0.279452
0 24 -0.0483886 -0.250225
1 24 -0.0537701 -0.275606
0 25 -0.036857 -0.250225
1 25 -0.151251 -0.278406
0 26 -0.164474 -0.249456
1 26 -0.172931 -0.275606
0 27 -0.0353194 -0.247918
1 27 -0.0422384 -0.27253
0 28 -0.0537701 -0.247149
1 28 -0.173392 -0.275452
0 29 -0.0314755 -0.247149
1 29 -0.0377795 -0.27176
0 30 -0.194456 -0.24638
1 30 -0.201375 -0.27253
0 31 -0.0560764 -0.24638
1 31 -0.0622266 -0.27176
0 32 -0.186769 -0.24561
1 32 -0.191842 -0.272683
0 33 -0.043776 -0.24561
1 33 -0.0499262 -0.269453
0 33 -0.0422384 -0.244841
0 34 -0.0345506 -0.244841
1 34 -0.0422384 -0.269453
0 35 -0.0322443 -0.244841
1 35 -0.0396245 -0.268992
0 36 -0.150636 -0.243303
1 36 -0.159861 -0.268684
0 37 -0.143717 -0.243303
1 37 -0.154019 -0.268069
0 38 -0.133723 -0.243303
1 38 -0.144486 -0.269453
0 39 -0.0468511 -0.243303
1 39 -0.0553076 -0.267915
0 40 -0.0414696 -0.243303
1 40 -0.0483886 -0.267146
0 41 -0.153711 -0.241765
1 41 -0.162168 -0.267146
0 42 -0.149098 -0.241765
1 42 -0.159093 -0.267146
0 43 -0.0653017 -0.241765
1 43 -0.074527 -0.266377
0 44 -0.0599203 -0.240227
1 44 -0.0683768 -0.264838
0 45 -0.0453135 -0.239457
1 45 -0.0530013 -0.264069
0 46 -0.0422384 -0.239457
1 46 -0.0499262 -0.264069
0 47 -0.188306 -0.238688
1 47 -0.196455 -0.264377
0 48 -0.183693 -0.238688
1 48 -0.19215 -0.264069
0 49 -0.134492 -0.238688
1 49 -0.144486 -0.2633
0 50 -0.0307067 -0.238688
1 50 -0.0376257 -0.262531
0 51 -0.0276316 -0.238688
1 51 -0.0337819 -0.2633
0 52 0.0331018 -0.238688
1 52 0.0369457 -0.261793
0 53 -0.00226198 -0.236381
1 53 -0.00533709 -0.260224
0 54 -0.00533709 -0.235612
1 54 -0.00918098 -0.259455
0 55 -0.0307067 -0.234843
1 55 -0.0376257 -0.258685
0 56 -0.00379954 -0.232535
1 56 -0.0073359 -0.256255
0 57 -0.0937465 -0.229459
1 57 -0.104509 -0.25484
0 58 -0.095284 -0.227152
1 58 -0.0922089 -0.252532
0 59 -0.136798 -0.225613
1 59 -0.161399 -0.251456
0 60 0.0100385 -0.211769
1 60 0.00773212 -0.234074
0 61 0.0085009 -0.210231
1 61 0.00542579 -0.232535
0 62 0.00696334 -0.20254
1 62 0.00388823 -0.224844
0 63 -0.081446 -0.201771
1 63 -0.0922089 -0.225613
0 64 -0.221364 -0.200232
1 64 -0.225976 -0.226382
0 64 -0.219826 -0.200232
0 65 -0.0691456 -0.198694
1 65 -0.080216 -0.221922
0 66 -0.0783709 -0.196387
1 66 -0.0891338 -0.220999
0 67 -0.0991279 -0.19408
1 67 -0.110291 -0.218599
0 68 -0.0768334 -0.19408
1 68 -0.0860587 -0.218691
0 69 -0.224439 -0.192541
1 69 -0.22982 -0.217922
