10 9129 25291
0 0 -0.492219 -0.119081
1 0 -0.474232 -0.0848193
0 1 -0.292666 -0.149596
1 1 -0.252517 -0.131651
0 2 0.127632 -0.0799777
1 2 0.323054 -0.0453025
0 3 0.0956961 0.129895
1 3 0.200231 0.1502
0 4 -0.371872 0.0756407
1 4 -0.329129 0.123225
0 5 0.138556 0.0395685
1 5 0.25376 0.0574143
0 6 -0.344966 0.111217
1 6 -0.303906 0.158327
0 7 0.0519111 0.0972781
1 7 0.150266 0.119323
0 8 0.17212 0.0845895
1 8 0.288204 0.101728
0 9 0.409147 -0.0651512
1 9 0.518995 -0.0598678
0 10 -0.367049 0.0758402
1 10 -0.324491 0.123712
0 11 0.217446 0.0844386
1 11 0.332875 0.0987826
0 12 0.0849642 0.104952
1 12 0.189895 0.126471
0 13 0.0858502 0.0547448
1 13 0.193448 0.07509
0 14 0.210975 0.0515416
1 14 0.329067 0.0667163
0 15 0.0790119 0.0122318
1 15 0.186047 0.0311137
0 6 -0.344861 0.111606
0 5 0.138797 0.0398779
0 16 0.218709 0.0872746
1 16 0.334083 0.101488
0 15 0.0792911 0.0129557
0 17 -0.429916 -0.253134
1 17 -0.415393 -0.244938
0 18 0.268705 -0.0853173
1 18 0.386737 -0.0743311
0 19 0.142758 0.065793
1 19 0.255819 0.0849337
0 20 -0.390325 0.109128
1 20 -0.355194 0.160986
0 12 0.0848044 0.105061
0 21 0.0893331 0.121952
1 21 0.193059 0.142326
0 22 0.0873312 0.045265
1 22 0.19549 0.0646758
0 23 0.127994 -0.00661278
1 23 0.25028 0.013518
0 24 -0.471485 -0.263338
1 24 -0.466273 -0.25412
0 25 -0.416998 -0.284604
1 25 -0.398802 -0.278764
0 26 0.178328 0.0439612
1 26 0.295753 0.0601964
0 27 -0.314925 -0.128021
1 27 -0.271438 -0.105489
0 28 -0.398439 -0.0740723
1 28 -0.361601 -0.0393243
0 29 0.329247 -0.0865972
1 29 0.442556 -0.0782545
0 30 0.0825403 0.139018
1 30 0.182756 0.159641
0 17 -0.431089 -0.253736
0 31 0.232132 0.0521621
1 31 0.350322 0.0663334
0 32 0.178446 0.0445629
1 32 0.295965 0.0610019
0 33 -0.511882 -0.0686626
1 33 -0.499687 -0.0277805
0 34 -0.357792 0.0923499
1 34 -0.313453 0.139406
0 35 0.0799771 0.01872
1 35 0.186184 0.0393222
0 36 0.195582 0.0464132
1 36 0.313366 0.062529
0 37 0.197553 0.0674331
1 37 0.315242 0.0829194
0 38 -0.372931 0.0886732
1 38 -0.329165 0.13673
0 38 -0.371132 0.088091
0 39 0.197255 0.0678395
1 39 0.314379 0.0839307
0 40 0.23142 0.052418
1 40 0.349025 0.0668137
0 41 0.199076 0.0477028
1 41 0.317057 0.0633784
0 42 0.126606 0.170296
1 42 0.229056 0.188775
0 43 0.07676 0.0930462
1 43 0.179975 0.114819
0 44 0.198835 0.0474762
1 44 0.316844 0.0628907
0 45 0.0309609 0.0134672
1 45 0.127524 0.0337964
0 46 0.0142747 0.0585021
1 46 0.104127 0.080547
0 43 0.0768705 0.0952197
0 47 0.192416 0.0846237
1 47 0.3091 0.101367
0 48 0.0863232 0.121707
1 48 0.189506 0.142266
0 49 0.0667062 0.0489955
1 49 0.171038 0.0700725
0 50 0.192622 0.0855476
1 50 0.309016 0.101692
0 51 0.183607 -0.183569
1 51 0.263555 -0.180064
0 52 -0.387339 0.118742
1 52 -0.353169 0.169573
0 53 0.219105 0.0679826
1 53 0.336418 0.0825886
0 54 0.0609588 0.122634
1 54 0.157351 0.142016
0 55 0.0297488 -0.01631
1 55 0.124346 0.0021689
0 56 -0.284217 -0.0866629
1 56 -0.243156 -0.0634
0 57 -0.455939 -0.265418
1 57 -0.446658 -0.256456
0 58 0.106054 0.148825
1 58 0.209259 0.168407
0 59 0.20881 0.0608622
1 59 0.327127 0.0754901
0 60 0.204206 0.0462824
1 60 0.32273 0.0620198
0 61 0.296775 -0.202163
1 61 0.384523 -0.200376
0 62 0.249032 0.0524422
1 62 0.366404 0.0659998
0 63 0.0775279 0.0919997
1 63 0.180232 0.113723
0 64 0.0601952 0.0686738
1 64 0.162167 0.0899184
0 55 0.0298681 -0.0163361
0 65 0.233097 0.0206925
1 65 0.360935 0.0369222
0 66 0.188915 -0.183297
1 66 0.268524 -0.179765
0 67 0.178196 0.0021152
1 67 0.305377 0.0204853
0 68 0.168453 0.0692844
1 68 0.284422 0.086146
0 69 0.183117 0.0753972
1 69 0.299545 0.0920868
0 70 0.0616934 0.0578277
1 70 0.165039 0.0795607
0 71 0.00664489 0.0683169
1 71 0.0935041 0.0910474
0 72 0.0836616 0.0432147
1 72 0.190391 0.0636116
0 73 0.107904 0.114991
1 73 0.21589 0.135144
0 74 -0.484809 -0.145273
1 74 -0.463052 -0.113779
0 75 0.026108 0.0282097
1 75 0.121182 0.0489293
0 76 0.183245 0.118714
1 76 0.297324 0.134551
0 77 0.0250284 0.0171447
1 77 0.119837 0.0387636
0 46 0.0131764 0.0579359
0 78 0.101948 0.0284576
1 78 0.212046 0.0490278
0 79 -0.00477283 0.0533285
1 79 0.0755516 0.0741092
0 80 0.0645054 0.0706197
1 80 0.167853 0.0913303
0 81 0.107994 0.130095
1 81 0.213178 0.150219
0 59 0.209345 0.0609068
0 82 0.247338 0.0728461
1 82 0.364147 0.0852377
0 83 -0.459711 -0.0220727
1 83 -0.446328 0.0176031
0 84 0.196541 0.113352
1 84 0.311429 0.128454
0 85 0.0706608 0.0753211
1 85 0.173987 0.0960524
0 73 0.107678 0.115254
0 81 0.107646 0.130257
0 86 0.133289 0.113864
1 86 0.24549 0.132875
0 87 0.17286 0.0663635
1 87 0.289588 0.0831069
0 88 0.0561023 0.00303415
1 88 0.157044 0.0232728
0 89 0.0336827 0.00530296
1 89 0.129857 0.025463
0 90 -0.347364 0.0817506
1 90 -0.303256 0.128218
0 91 0.254238 0.0661213
1 91 0.371414 0.0787118
0 92 0.153932 0.124848
1 92 0.265096 0.143271
0 93 0.164001 0.054014
1 93 0.280287 0.0718647
0 94 0.19151 0.0701967
1 94 0.308803 0.0860176
0 95 -0.291376 -0.205649
1 95 -0.255781 -0.193952
0 96 0.0954001 0.0249103
1 96 0.204876 0.0450568
0 90 -0.347512 0.0826043
0 97 0.133456 0.113811
1 97 0.244583 0.132302
0 98 -0.447885 -0.271761
