10 17956 54491
1 99 0.160889 -0.178385
0 100 0.0839974 -0.184618
1 100 0.163382 -0.178385
0 101 0.178553 -0.184618
1 101 0.258561 -0.181501
0 102 -0.46567 -0.181501
1 102 -0.440109 -0.157196
0 103 0.0445128 -0.180463
1 103 0.12847 -0.172153
0 104 0.272069 -0.177347
1 104 0.352077 -0.175269
0 105 0.0289267 -0.176308
1 105 0.109766 -0.167167
0 106 0.150498 -0.175269
1 106 0.235702 -0.169037
0 107 -0.469827 -0.173192
1 107 -0.446967 -0.147224
0 108 -0.346177 -0.171114
1 108 -0.322279 -0.154495
0 109 -0.423069 -0.169037
1 109 -0.408937 -0.148471
0 110 -0.320201 -0.169037
1 110 -0.282254 -0.149468
0 111 -0.325396 -0.16696
1 111 -0.288239 -0.147673
0 112 -0.46671 -0.165921
1 112 -0.442603 -0.139745
0 113 -0.464631 -0.165921
1 113 -0.438862 -0.138499
0 114 0.11413 -0.165921
1 114 0.202451 -0.157611
0 115 -0.4771 -0.164882
1 115 -0.454324 -0.137502
0 116 -0.417873 -0.164882
1 116 -0.400209 -0.144731
0 117 0.101662 -0.163843
1 117 0.192061 -0.154703
0 118 -0.481256 -0.161766
1 118 -0.458813 -0.133513
0 119 -0.480217 -0.157611
1 119 -0.458813 -0.129774
0 120 -0.415795 -0.154495
1 120 -0.396468 -0.13102
0 121 -0.307732 -0.153456
1 121 -0.264299 -0.133513
0 122 -0.36592 -0.152418
1 122 -0.340359 -0.132267
0 123 -0.317083 -0.152418
1 123 -0.276768 -0.132267
0 124 -0.301497 -0.152418
1 124 -0.257857 -0.131644
0 125 -0.315005 -0.15034
1 125 -0.274274 -0.129774
0 126 -0.307732 -0.15034
1 126 -0.264299 -0.129774
0 127 0.142185 -0.15034
1 127 0.239442 -0.142238
0 128 -0.364881 -0.148263
1 128 -0.337865 -0.127281
0 129 -0.419951 -0.146185
1 129 -0.401456 -0.121049
0 130 -0.414756 -0.146185
1 130 -0.394473 -0.122544
0 131 0.172318 -0.146185
1 131 0.269991 -0.137876
0 132 0.309476 -0.146185
1 132 0.401537 -0.142238
0 133 -0.464631 -0.145147
1 133 -0.440733 -0.116063
0 134 -0.371115 -0.145147
1 134 -0.345346 -0.123542
0 135 -0.304615 -0.145147
1 135 -0.262013 -0.123334
0 136 0.127638 -0.144108
1 136 0.225311 -0.13476
0 137 -0.320201 -0.143069
1 137 -0.279261 -0.121049
0 138 0.430008 -0.143069
1 138 0.507938 -0.144108
0 139 -0.476061 -0.142031
1 139 -0.450084 -0.111077
0 140 -0.415795 -0.142031
1 140 -0.395222 -0.118556
0 141 -0.311888 -0.142031
1 141 -0.268039 -0.119802
0 142 0.246092 -0.142031
1 142 0.341687 -0.135798
0 143 -0.367998 -0.140992
1 143 -0.341606 -0.118556
0 144 -0.308771 -0.140992
1 144 -0.267208 -0.120218
0 145 0.368703 -0.140992
1 145 0.457023 -0.138914
0 146 -0.417873 -0.139953
1 146 -0.398962 -0.114816
0 147 0.175436 -0.139953
1 147 0.274355 -0.13102
0 148 -0.317083 -0.138914
1 148 -0.275521 -0.116063
0 149 -0.000167217 -0.138914
1 149 0.0881537 -0.124373
0 150 0.0746458 -0.138914
1 150 0.173357 -0.12645
0 151 0.117248 -0.136837
1 151 0.219076 -0.125411
0 152 0.220116 -0.136837
1 152 0.322984 -0.128527
0 153 -0.470866 -0.13476
1 153 -0.444889 -0.103598
0 154 -0.412678 -0.13476
1 154 -0.390857 -0.109831
0 155 -0.311888 -0.13476
1 155 -0.270533 -0.112324
0 156 0.179592 -0.133721
1 156 0.280589 -0.124788
0 157 0.340648 -0.132682
1 157 0.435203 -0.128527
0 158 -0.323318 -0.131644
1 158 -0.283002 -0.108584
0 159 0.216998 -0.129566
1 159 0.319866 -0.120218
0 160 -0.319162 -0.128527
1 160 -0.276768 -0.104845
0 161 -0.316044 -0.128527
1 161 -0.273027 -0.104845
0 162 0.0985444 -0.128527
1 162 0.202451 -0.116063
0 163 0.102701 -0.128527
1 163 0.207023 -0.116063
0 164 -0.302537 -0.127489
1 164 -0.258896 -0.103598
0 165 0.216998 -0.127489
1 165 0.324023 -0.117102
0 166 -0.28799 -0.12645
1 166 -0.245388 -0.104637
0 165 0.220116 -0.12645
0 167 -0.296302 -0.125411
1 167 -0.2537 -0.10256
0 168 0.2596 -0.125411
1 168 0.361637 -0.117309
0 169 -0.300458 -0.124373
1 169 -0.256817 -0.101521
0 170 0.186865 -0.124373
1 170 0.291811 -0.11357
0 171 0.219076 -0.123334
1 171 0.325062 -0.112947
0 172 0.305319 -0.123334
1 172 0.407148 -0.116063
0 173 -0.48853 -0.121256
1 173 -0.46671 -0.0859404
0 174 -0.285911 -0.121256
1 174 -0.245388 -0.0994436
0 175 0.377015 -0.121256
1 175 0.473649 -0.117102
0 176 0.264796 -0.120218
1 176 0.370781 -0.110869
0 177 0.301163 -0.120218
1 177 0.402992 -0.113985
0 178 -0.308771 -0.119179
1 178 -0.265546 -0.0961197
0 179 0.0881537 -0.119179
1 179 0.194554 -0.104845
0 180 0.156732 -0.119179
1 180 0.269991 -0.105676
0 181 -0.48853 -0.11814
1 181 -0.468788 -0.0849017
0 182 -0.302537 -0.11814
1 182 -0.259311 -0.0948733
0 183 -0.504116 -0.116063
1 183 -0.485413 -0.0807469
0 184 0.483 -0.115024
1 184 0.0902318 -0.225127
0 185 -0.459436 -0.113985
1 185 -0.435122 -0.0811624
0 186 -0.492686 -0.112947
1 186 -0.472944 -0.0786695
0 187 -0.333709 -0.112947
1 187 -0.293185 -0.0869791
0 188 0.309476 -0.112947
1 188 0.414422 -0.105676
0 189 0.265835 -0.110869
1 189 0.374106 -0.101106
0 190 -0.529054 -0.107753
1 190 -0.512429 -0.0699443
0 191 0.146342 -0.107753
1 191 0.259392 -0.0948733
0 192 0.183748 -0.107753
1 192 0.297007 -0.0963275
0 193 -0.532171 -0.105676
1 193 -0.517167 -0.0672021
0 194 0.208686 -0.105676
1 194 0.321944 -0.0942501
0 195 -0.334748 -0.10256
1 195 -0.292977 -0.0761765
0 196 0.169201 -0.10256
1 196 0.284538 -0.0890565
0 197 0.183748 -0.10256
1 197 0.298046 -0.0900952
0 198 0.4165 -0.10256
1 198 0.514172 -0.0994436
0 199 0.43832 -0.101521
1 199 0.532876 -0.0994436
0 200 -0.540483 -0.100482
1 200 -0.526144 -0.0587263
0 201 -0.390857 -0.100482
1 201 -0.366543 -0.0724372
0 202 -0.00224536 -0.100482
1 202 0.0933075 -0.0836552
0 203 0.168162 -0.100482
1 203 0.283083 -0.0873946
0 204 -0.530093 -0.0994436
1 204 -0.512429 -0.0599728
0 205 -0.470866 -0.0994436
1 205 -0.450084 -0.0641276
0 206 -0.291107 -0.0994436
1 206 -0.247466 -0.0755534
0 207 -0.337865 -0.0984049
1 207 -0.296718 -0.0699443
0 208 -0.000167217 -0.0984049
1 208 0.0963 -0.0806638
0 209 0.381171 -0.0973662
1 209 0.486117 -0.0921727
0 210 -0.342021 -0.0952888
1 210 -0.302952 -0.0674514
0 211 0.154654 -0.0952888
1 211 0.271861 -0.0811624
0 212 -0.336826 -0.0942501
1 212 -0.296302 -0.066205
0 213 0.15881 -0.0942501
1 213 0.275186 -0.0797082
0 214 0.38221 -0.0942501
1 214 0.490274 -0.0900952
0 215 0.208686 -0.0932114
1 215 0.326101 -0.0797082
0 216 -0.522819 -0.0900952
1 216 -0.5037 -0.0500012
0 217 -0.518663 -0.0900952
1 217 -0.49996 -0.0495857
0 218 -0.519702 -0.0880178
1 218 -0.498713 -0.0475083
0 219 0.32714 -0.0869791
1 219 0.440191 -0.0799159
0 220 0.265835 -0.0859404
1 220 0.384289 -0.0755534
0 221 0.331296 -0.0859404
1 221 0.444555 -0.0776308
0 222 -0.444889 -0.0828243
1 222 -0.42099 -0.0475083
0 223 -0.441772 -0.0828243
1 223 -0.417665 -0.0487547
0 224 -0.438655 -0.0828243
1 224 -0.415172 -0.0487547
0 225 -0.291107 -0.0817856
1 225 -0.246427 -0.0558179
0 226 0.301163 -0.0807469
1 226 0.418578 -0.0703598
0 227 -0.302537 -0.0786695
1 227 -0.258896 -0.0516631
0 228 -0.392936 -0.0765921
1 228 -0.355321 -0.0425225
0 229 -0.303576 -0.0755534
1 229 -0.259935 -0.048547
0 230 0.200373 -0.0755534
1 230 0.322983 -0.0610115
0 231 -0.44385 -0.0734759
