9 7016 25409
0 0 -0.0442838 -0.242384
1 0 -0.051997 -0.266944
0 1 -0.0301787 -0.241911
1 1 -0.0367008 -0.266268
0 2 -0.0885686 -0.193995
1 2 -0.099387 -0.218034
0 3 0.0253778 -0.158391
1 3 0.025141 -0.178675
0 4 -0.0478961 -0.104937
1 4 -0.0561536 -0.125855
0 5 -0.08873 -0.194111
1 5 -0.0992556 -0.217908
0 6 -0.136392 -0.0983585
1 6 -0.146286 -0.121582
0 4 -0.0480408 -0.104883
0 7 -0.229316 -0.180644
1 7 -0.234146 -0.206423
0 8 -0.186761 -0.241255
1 8 -0.1947 -0.267358
0 9 -0.137909 -0.242212
1 9 -0.147916 -0.268202
0 10 -0.186637 -0.241696
1 10 -0.194572 -0.26782
0 11 -0.0409752 -0.243344
1 11 -0.0495977 -0.268764
0 12 -0.0894382 -0.227841
1 12 -0.0982724 -0.252657
0 13 -0.0621821 -0.242206
1 13 -0.0713166 -0.26644
0 14 -0.0390757 -0.251202
1 14 -0.0448708 -0.275618
0 15 -0.150845 0.0757699
1 15 -0.159639 0.0534957
0 16 -0.0678459 0.239606
1 16 -0.0727476 0.222899
0 17 -0.0603307 0.252654
1 17 -0.0643115 0.23646
0 18 -0.0883053 -0.227656
1 18 -0.0985321 -0.25257
0 19 -0.220448 -0.194941
1 19 -0.226233 -0.22078
0 20 -0.0212083 0.116852
1 20 -0.0250864 0.101209
0 21 -0.068933 -0.28675
1 21 -0.075664 -0.313003
0 22 -0.197235 -0.263559
1 22 -0.202614 -0.289903
0 23 -0.0929456 0.184278
1 23 -0.100188 0.165797
0 24 -0.0706497 0.17168
1 24 -0.0773038 0.154371
0 25 -0.00981514 -0.120416
1 25 -0.0158015 -0.141051
0 26 -0.0725501 0.261798
1 26 -0.0771728 0.24536
0 27 -0.00729596 0.0364423
1 27 -0.0105479 0.0199578
0 28 -0.0601707 0.250756
1 28 -0.064045 0.234596
0 29 -0.157403 -0.111874
1 29 -0.167262 -0.135735
0 30 -0.0583449 0.235878
1 30 -0.0628914 0.220105
0 31 -0.00889569 -0.118775
1 31 -0.0137524 -0.139379
0 19 -0.220356 -0.1951
0 32 -0.0964221 -0.305482
1 32 -0.102731 -0.332167
0 14 -0.158188 -0.254032
0 33 -0.212337 0.0982834
1 33 -0.216118 0.0731686
0 34 -0.0725806 -0.286986
1 34 -0.0803095 -0.312942
0 35 -0.111014 0.170576
1 35 -0.118728 0.15079
0 36 -0.0784978 0.183855
1 36 -0.0853063 0.166115
0 37 -0.170221 -0.078332
