15 7909 27058
0 95 0.265153 -0.0582024
1 95 0.281242 -0.0885887
0 96 0.0679511 0.265042
1 96 0.0792993 0.216854
0 97 0.0900796 0.136518
1 97 0.103134 0.0837778
0 98 -0.0161482 0.11283
1 98 0.000438792 0.0616806
0 99 0.299914 -0.053815
1 99 0.313365 -0.0865837
0 100 0.206851 0.276915
1 100 0.219545 0.239239
0 101 0.284907 -0.0659586
1 101 0.300989 -0.0968511
0 102 -0.199569 -0.05445
1 102 -0.171516 -0.0977241
0 103 0.471951 -0.270507
1 103 0.481304 -0.304926
0 104 0.251586 0.0404173
1 104 0.265468 0.00695486
0 100 0.206613 0.277391
0 105 0.0516543 0.262239
1 105 0.0627914 0.214225
0 106 -0.029424 0.135283
1 106 -0.0154911 0.0827022
0 107 0.0785938 -0.171768
1 107 0.0997197 -0.195048
0 108 -0.050159 -0.266003
1 108 -0.0240623 -0.298155
0 109 0.304482 -0.00359375
1 109 0.318129 -0.0422198
0 110 -0.0210753 0.156284
1 110 -0.00698045 0.104758
0 111 -0.0113662 0.248022
1 111 0.00127099 0.202593
0 112 -0.212087 0.368787
1 112 -0.204526 0.263437
0 113 -0.0327622 -0.243817
1 113 -0.00787185 -0.276848
0 114 -0.0687593 -0.301846
1 114 -0.0407715 -0.330595
0 115 0.123954 -0.279293
1 115 0.145957 -0.305362
0 116 -0.214106 0.378999
1 116 -0.206039 0.274264
0 117 0.0216057 -0.20636
1 117 0.0443933 -0.236994
0 118 0.00880153 -0.218608
1 118 0.0317701 -0.252358
0 119 0.0733852 -0.109478
1 119 0.093237 -0.14276
0 120 0.17298 -0.0180222
1 120 0.190069 -0.0465541
0 121 0.232102 0.0295327
1 121 0.245856 -0.00449452
0 111 -0.0128558 0.248203
0 122 -0.0368002 0.142457
1 122 -0.0218111 0.089442
0 109 0.305496 -0.00396317
0 123 0.134704 -0.272696
1 123 0.156107 -0.296227
0 124 0.127316 -0.00129575
1 124 0.143164 -0.0335453
0 125 0.189457 0.284481
1 125 0.200124 0.243481
0 126 0.000728794 -0.227589
1 126 0.0243159 -0.260561
0 124 0.124963 -0.000848129
0 127 0.312737 -0.00957574
1 127 0.326215 -0.0467096
0 128 0.111647 -0.0747291
1 128 0.127737 -0.120048
0 129 0.0538664 0.216492
1 129 0.0652189 0.164517
0 130 0.232374 0.025711
1 130 0.246109 -0.0090725
0 131 0.11894 -0.178907
1 131 0.137832 -0.216746
0 132 0.232278 0.024265
1 132 0.246261 -0.00948007
0 133 0.0420172 0.209535
1 133 0.053477 0.156405
0 134 0.0717633 0.267066
1 134 0.0827753 0.218589
0 135 -0.210392 0.370142
1 135 -0.201884 0.263971
0 136 -0.195759 -0.0474709
1 136 -0.169169 -0.0935822
0 137 -0.0990791 -0.313542
1 137 -0.0694758 -0.342072
0 118 0.00905037 -0.21794
0 138 0.30371 0.015189
1 138 0.317294 -0.0230183
0 139 0.251621 0.195513
1 139 0.263332 0.156712
0 140 0.432102 -0.257226
1 140 0.443282 -0.288869
0 141 -0.0223221 0.163635
1 141 -0.00839017 0.11037
0 142 -0.0604987 -0.296598
1 142 -0.0331649 -0.325496
0 128 0.111985 -0.0775169
0 143 -0.0459455 0.115703
1 143 -0.0304397 0.0631893
0 144 0.288244 0.0656002
1 144 0.300304 0.0266769
0 145 0.264532 0.0234042
1 145 0.280536 -0.00786739
0 146 0.139406 0.0022504
1 146 0.153324 -0.0396169
0 147 -0.0764898 -0.0505985
1 147 -0.0544158 -0.0918878
0 148 0.0221214 -0.0777272
1 148 0.040834 -0.118936
0 149 0.0122977 -0.2158
1 149 0.0353073 -0.249038
0 150 -0.145199 -0.351625
1 150 -0.111303 -0.374695
0 151 0.141144 -0.275103
1 151 0.160364 -0.304388
0 152 0.121734 -0.26409
1 152 0.142816 -0.290637
0 153 0.0546471 0.205472
1 153 0.0659364 0.153967
0 154 -0.0343153 0.212342
1 154 -0.0196519 0.170884
0 155 0.177154 0.242492
1 155 0.186548 0.195939
0 156 0.156854 0.209864
1 156 0.168135 0.158847
0 157 0.205361 0.125043
1 157 0.215685 0.0766047
0 158 0.258562 0.204465
1 158 0.270459 0.164421
0 159 0.0399616 -0.0585849
1 159 0.0574445 -0.0998085
0 160 0.130234 -0.0703375
1 160 0.145528 -0.110392
0 161 0.0225662 -0.132279
1 161 0.0424127 -0.17192
0 162 -0.0692128 0.125217
1 162 -0.051747 0.0737268
0 163 0.209201 0.241151
1 163 0.222062 0.20075
0 164 -0.180945 -0.0792363
1 164 -0.154105 -0.122199
0 165 0.242375 0.217476
1 165 0.253673 0.178555
0 166 0.0778481 -0.0172411
1 166 0.0929642 -0.0636196
0 167 0.0447564 0.15596
1 167 0.0559964 0.0998446
0 168 -0.225978 0.364265
1 168 -0.216239 0.257818
0 169 0.165364 0.0978393
1 169 0.179361 0.0521006
0 170 0.1182 -0.263534
1 170 0.140313 -0.290935
0 171 -0.234605 -0.0504807
1 171 -0.205764 -0.0947125
0 172 -0.0104165 0.195346
1 172 0.00420534 0.145562
0 173 0.18838 0.271181
1 173 0.199333 0.23076
0 174 0.117821 -0.264272
1 174 0.140134 -0.290979
0 175 -0.00859231 -0.18258
1 175 0.0132055 -0.220429
0 176 0.088857 -0.0895824
1 176 0.105459 -0.130856
0 177 -0.0288231 -0.118657
1 177 -0.00813126 -0.16087
0 178 -0.12492 -0.0803575
1 178 -0.0993519 -0.121013
0 179 0.31055 -0.0393177
1 179 0.324722 -0.0733456
0 180 0.284954 0.0544403
1 180 0.298467 0.0150864
0 181 -0.177566 -0.080889
